customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST10062,Female,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.35,2261.63,No
CUST10063,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,Yes,Yes,Two year,Yes,Electronic check,56.71,465.88,No
CUST10064,Male,0,Yes,No,48,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,44.62,2178.91,Yes
CUST10065,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,One year,No,Bank transfer,67.35,,No
CUST10066,Male,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,No,One year,No,Electronic check,30.42,117.02,No
CUST10067,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,One year,Yes,Bank transfer,63.57,4634.55,No
CUST10068,Male,0,Yes,No,26,No,No,DSL,No,No,No,No,Yes,Two year,No,Electronic check,47.85,1303.98,No
CUST10069,Female,0,Yes,No,45,Yes,No,DSL,No,No,Yes,No,No,One year,Yes,Credit card,43.95,2016.2,No
CUST10070,Female,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,62.88,631.58,No
CUST10071,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,60.58,1697.8,Yes
CUST10072,Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,61.63,1345.15,No
CUST10073,Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,45.51,1056.39,No
CUST10074,Female,1,No,No,27,No,No,Fiber optic,Yes,No,Yes,No,No,Two year,Yes,Credit card,54.03,1518.44,No
CUST10075,Female,0,No,No,20,Yes,No,DSL,No,Yes,No,No,Yes,One year,No,Mailed check,52.43,1081.17,No
CUST10076,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,Two year,Yes,Electronic check,69.26,972.41,No
CUST10077,Male,0,No,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,No,One year,Yes,Electronic check,59.07,464.83,No
CUST10078,Male,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,No,No,No,Two year,Yes,Electronic check,47.18,1709.45,No
CUST10079,Male,1,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,62.68,424.31,Yes
CUST10080,Female,0,Yes,No,28,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,40.02,1157.02,No
CUST10081,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Mailed check,57.06,403.04,No
CUST10082,Male,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Mailed check,47.17,1132.62,No
CUST10083,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,One year,Yes,Electronic check,50.9,1687.33,No
CUST10084,Male,1,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,62.12,357.54,No
CUST10085,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.15,118.82,Yes
CUST10086,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,59.47,243.13,No
CUST10087,Female,0,No,Yes,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,Two year,Yes,Electronic check,54.39,1264.57,Yes
CUST10088,Female,1,No,No,45,Yes,Yes,DSL,No,No,Yes,No,Yes,One year,Yes,Mailed check,58.89,2717.68,No
CUST10089,Male,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.8,101.48,Yes
CUST10090,Male,1,No,No,31,Yes,No,DSL,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,42.8,1356.76,No
CUST10091,Female,0,No,No,10,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,21.19,227.45,Yes
CUST10092,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.78,924.38,Yes
CUST10093,Female,0,No,No,63,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,53.58,3442.97,No
CUST10094,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Two year,No,Mailed check,60.85,,No
CUST10095,Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,,No,Two year,No,Mailed check,53.8,832.62,No
CUST10096,Female,0,No,No,0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,22.27,26.238196471650514,No
CUST10097,Male,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,44.23,129.81,No
CUST10098,Male,0,No,Yes,7,Yes,No,DSL,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,55.71,443.18,No
CUST10099,Male,0,Yes,No,0,Yes,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,10.71,14.501411930589606,Yes
CUST10100,Male,0,No,Yes,23,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,41.83,1012.68,No
CUST10101,Female,1,No,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.94,639.06,Yes
CUST10102,Male,1,Yes,No,19,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,13.83,281.06,Yes
CUST10103,Female,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,One year,Yes,Mailed check,67.68,320.39,Yes
CUST10104,Female,1,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No,One year,No,Credit card,46.33,413.56,No
CUST10105,Male,0,Yes,No,26,Yes,No,DSL,Yes,No,No,No,Yes,One year,Yes,Credit card,54.2,1486.44,No
CUST10106,Male,0,No,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,52.76,3855.22,Yes
CUST10107,Female,0,No,Yes,1,Yes,No,DSL,No,Yes,No,No,No,Two year,Yes,Mailed check,41.64,86.96,Yes
CUST10108,Male,0,Yes,No,53,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,21.09,1142.45,Yes
CUST10109,Male,0,No,No,20,No,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,63.17,1330.72,Yes
CUST10110,Male,0,Yes,No,19,No,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Bank transfer,49.03,956.77,No
CUST10111,Male,0,Yes,Yes,16,Yes,No,No,No,No,No,,No,Month-to-month,No,Bank transfer,22.7,383.5,Yes
CUST10112,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,57.25,114.12,No
CUST10113,Female,0,No,Yes,2,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,53.26,172.59,No
CUST10114,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,No,No,Yes,One year,Yes,Electronic check,60.04,1381.4,No
CUST10115,Female,0,Yes,No,10,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card,21.54,220.47,Yes
CUST10116,Female,0,No,No,59,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,18.25,1099.3,No
CUST10117,Male,0,No,Yes,12,Yes,Yes,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,46.2,592.56,No
CUST10118,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Two year,No,Electronic check,75.09,288.19,No
CUST10119,Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,62.09,1916.45,Yes
CUST10120,Female,1,No,No,8,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,12.04,113.79,No
CUST10121,Female,1,No,Yes,17,No,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,47.55,868.49,No
CUST10122,Male,0,No,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,62.77,1825.16,Yes
CUST10123,Male,0,Yes,No,55,Yes,Yes,No,No,No,No,No,No,One year,Yes,Bank transfer,14.87,839.04,No
CUST10124,Male,0,No,No,37,No,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,55.1,2098.53,Yes
CUST10125,Male,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,61.14,1712.93,No
CUST10126,Female,0,No,No,27,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,No,Bank transfer,45.73,1287.41,Yes
CUST10127,Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,49.12,3463.33,No
CUST10128,Male,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,Yes,One year,No,Credit card,56.39,508.62,No
CUST10129,Female,0,No,No,0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.68,16.883871010223945,Yes
CUST10130,Male,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,44.23,365.47,Yes
CUST10131,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,70.79,423.27,Yes
CUST10132,Male,0,No,No,26,Yes,No,Fiber optic,Yes,No,No,,No,One year,Yes,Credit card,50.83,1372.72,No
CUST10133,Male,0,No,No,24,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,41.37,1019.2,No
CUST10134,Female,0,No,Yes,21,No,No,Fiber optic,Yes,Yes,No,No,No,One year,No,Bank transfer,51.19,1136.35,No
CUST10135,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,Two year,Yes,Electronic check,50.48,46.17998762438849,Yes
CUST10136,Female,0,Yes,No,31,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,27.16,874.69,Yes
CUST10137,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.41,555.97,No
CUST10138,Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,Two year,No,Electronic check,60.09,1614.69,No
CUST10139,Female,0,No,Yes,19,No,No,DSL,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,47.35,949.24,No
CUST10140,Female,0,No,No,10,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,31.5,339.56,No
CUST10141,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,57.83,235.67,Yes
CUST10142,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,61.99,164.36,Yes
CUST10143,Male,0,Yes,No,42,Yes,Yes,DSL,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,42.64,1828.64,No
CUST10144,Male,0,No,No,60,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,21.04,1301.41,No
CUST10145,Male,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,One year,No,Credit card,60.67,1581.81,No
CUST10146,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Two year,No,Bank transfer,54.77,165.98,No
CUST10147,Female,0,Yes,No,12,Yes,No,DSL,Yes,No,No,No,No,One year,Yes,Bank transfer,38.6,521.65,No
CUST10148,Male,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,Yes,No,One year,Yes,Credit card,56.01,1768.96,No
CUST10149,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,Yes,No,One year,Yes,Electronic check,58.86,2169.67,Yes
CUST10150,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Bank transfer,64.39,253.55,Yes
CUST10151,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,No,Credit card,40.29,39.201922886411666,Yes
CUST10152,Male,0,No,No,29,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card,23.09,701.46,Yes
CUST10153,Female,0,No,No,10,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.31,269.75,Yes
CUST10154,Female,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,46.74,383.9,No
CUST10155,Male,0,Yes,No,0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer,19.69,13.555421618523798,No
CUST10156,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,56.34,1082.58,No
CUST10157,Female,1,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Bank transfer,61.72,2828.79,Yes
CUST10158,Male,0,No,No,72,Yes,No,DSL,No,Yes,Yes,No,No,Two year,No,Electronic check,28.18,2055.91,Yes
CUST10159,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.09,1256.99,Yes
CUST10160,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,72.63,1317.9,Yes
CUST10161,Female,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,One year,Yes,Mailed check,51.95,150.62,No
CUST10162,Female,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,61.04,1220.38,Yes
CUST10163,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,54.44,658.35,Yes
CUST10164,Male,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.09,1272.52,Yes
CUST10165,Female,0,No,No,11,No,No,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.02,657.11,No
CUST10166,Male,0,No,No,6,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,13.88,99.27,Yes
CUST10167,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,50.24,146.54,No
CUST10168,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,One year,Yes,Mailed check,37.57,372.2,No
CUST10169,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,One year,Yes,Bank transfer,43.99,132.23,No
CUST10170,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,60.78,306.4,Yes
CUST10171,Male,1,Yes,No,72,Yes,No,No,,No,No,No,No,Month-to-month,Yes,Electronic check,30.06,2192.91,Yes
CUST10172,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Bank transfer,69.13,1037.14,Yes
CUST10173,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Two year,No,Electronic check,57.92,1085.31,Yes
CUST10174,Female,0,Yes,Yes,49,Yes,No,DSL,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,60.11,3012.17,No
CUST10175,Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,One year,No,Bank transfer,60.49,4417.58,Yes
CUST10176,Female,0,Yes,No,20,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,13.98,303.6,No
CUST10177,Male,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.07,2708.87,No
CUST10178,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Mailed check,33.17,314.32,No
CUST10179,Male,0,No,No,8,No,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.22,511.4,No
CUST10180,Male,1,Yes,Yes,12,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.31,626.03,Yes
CUST10181,Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.72,1403.87,No
CUST10182,Female,0,Yes,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Bank transfer,64.19,1776.62,No
CUST10183,Female,1,Yes,Yes,9,No,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,59.07,591.11,No
CUST10184,Male,0,No,No,3,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,39.44,162.9,No
CUST10185,Female,1,No,No,24,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,11.12,271.39,No
CUST10186,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,59.54,238.91,Yes
CUST10187,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Two year,No,Mailed check,59.63,1245.96,No
CUST10188,Female,0,No,No,28,No,No,Fiber optic,No,Yes,No,No,No,Two year,Yes,Electronic check,59.81,1727.19,No
CUST10189,Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,Two year,No,Mailed check,60.98,1764.34,No
CUST10190,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Two year,Yes,Credit card,72.98,2474.21,No
CUST10191,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.65,2689.34,Yes
CUST10192,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,62.72,1058.89,Yes
CUST10193,Female,0,No,No,31,No,No,DSL,No,Yes,Yes,No,No,One year,No,Electronic check,46.83,1489.53,No
CUST10194,Male,0,Yes,No,23,Yes,Yes,No,No,No,No,No,No,One year,Yes,Electronic check,21.91,543.52,No
CUST10195,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,Two year,Yes,Mailed check,50.8,263.61,Yes
CUST10196,Female,1,No,No,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,54.73,64.53552145645733,No
CUST10197,Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Credit card,59.37,526.68,No
CUST10198,Female,0,No,Yes,14,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,15.68,237.62,Yes
CUST10199,Female,0,Yes,No,23,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,26.83,647.16,Yes
